"","Player","Nationality","team_title","Position","goals","assists"
"320","Takehiro Tomiyasu","Japan","Arsenal","Defender",0,0
"321","Tariq Lamptey","England","Brighton","Defender",0,0
"322","Thiago Alcántara","Spain","Liverpool","Midfielder",0,0
"323","Thiago Silva","Brazil","Chelsea","Defender",0,0
"324","Thilo Kehrer","Germany","West Ham","Defender",0,0
"325","Thomas Partey","Ghana","Arsenal","Midfielder",0,0
"326","Tim Ream","United States","Fulham","Defender",0,0
"327","Timothy Castagne","Belgium","Leicester","Defender",1,0
"328","Tom Cairney","Scotland","Fulham","Midfielder",0,0
"329","Tom Davies","England","Everton","Midfielder",0,0
"330","Tomas Soucek","Czech Republic","West Ham","Midfielder",0,0
"331","Tosin Adarabioyo","England","Fulham","Defender",0,0
"332","Trent Alexander-Arnold","England","Liverpool","Defender",0,0
"333","Tyler Adams","United States","Leeds","Midfielder",0,0
"334","Tyrell Malacia","Netherlands","Manchester United","Defender",0,0
"335","Tyrese Francois","Australia","Fulham","Midfielder",0,0
"336","Tyrick Mitchell","England","Crystal Palace","Defender",0,1
"337","Tyrone Mings","England","Aston Villa","Defender",0,0
"338","Vicente Guaita","Spain","Crystal Palace","Goalkeeper",0,0
"339","Virgil van Dijk","Netherlands","Liverpool","Defender",0,0
"340","Vitalii Mykolenko","Ukraine","Everton","Defender",0,0
"341","Vitaly Janelt","Germany","Brentford","Midfielder",0,0
"342","Vladimir Coufal","Czech Republic","West Ham","Defender",0,0
"343","Wesley Fofana","France","Leicester","Defender",0,0
"344","Wilfred Ndidi","Nigeria","Leicester","Midfielder",0,0
"345","Wilfried Zaha","Cote D’Ivoire","Crystal Palace","Forward",3,0
"346","Will Hughes","England","Crystal Palace","Midfielder",0,0
"347","William Saliba","France","Arsenal","Defender",1,0
"348","Yan Valery","France","Southampton","Defender",0,0
"349","Yerry Mina","Colombia","Everton","Defender",0,0
"350","Yoane Wissa","DR Congo","Brentford","Midfielder",0,1
"351","Youri Tielemans","Belgium","Leicester","Midfielder",0,0
"352","Yves Bissouma","Mali","Tottenham","Midfielder",0,0
